location "Sydney, Australia"
activity "Climb the Sydney Harbour Bridge"
preference+ "Likes adventure sports"
preference- "Afraid of heights"
activity "Relax on Bondi Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Visit the Sydney Opera House"
preference+ "Enjoys art museums"
preference- "Dislikes noisy environments"
activity "Go snorkeling in the Great Barrier Reef"
preference+ "Likes to swim"
preference- "Dislikes swimming"
activity "Hike in the Blue Mountains"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
