location "Vienna, Austria"
activity "Attend an opera at the Vienna State Opera"
preference+ "Enjoys art museums"
preference- "Dislikes noisy environments"
activity "Visit Schönbrunn Palace"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Explore Christmas markets"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
activity "Taste traditional Viennese pastries"
preference+ "Likes trying new foods"
preference- "Allergic to certain ingredients"
activity "Walk through Vienna Woods"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
