location "Siem Reap, Cambodia"
activity "Explore Angkor Wat temples"
preference+ "Enjoys historical sites"
preference- "Avoids strenuous activities"
activity "Attend Apsara dance performance"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
activity "Try Cambodian cuisine"
preference+ "Likes trying new foods"
preference- "Dislikes spicy food"
activity "Visit floating villages"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Shop at local night markets"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
