location "Banff National Park, Canada"
activity "Skiing at Lake Louise"
preference+ "Enjoys skiing"
preference- "Hates cold weather"
activity "Canoeing on Lake Moraine"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Wildlife watching (bears, elk)"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
activity "Hiking in the Rockies"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Relaxing in Banff Upper Hot Springs"
preference+ "Likes to relax in nature"
preference- "Dislikes swimming"
