location "Prague, Czech Republic"
activity "Visit Prague Castle"
preference+ "Enjoys historical sites"
preference- "Dislikes crowded places"
activity "Stroll across Charles Bridge"
preference+ "Likes to relax in nature"
preference- "Dislikes crowded places"
activity "Tour Old Town Square"
preference+ "Enjoys historical sites"
preference- "Dislikes crowded places"
activity "Attend classical music concert"
preference+ "Enjoys art museums"
preference- "Dislikes noisy environments"
activity "Beer tasting at local pubs"
preference+ "Likes trying new foods"
preference- "Avoids alcohol"
