location "Galapagos Islands, Ecuador"
activity "Wildlife watching (unique species)"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
activity "Snorkeling with sea lions"
preference+ "Likes to swim"
preference- "Dislikes swimming"
activity "Hiking on volcanic islands"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Boat tours between islands"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Visit Charles Darwin Research Station"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
