location "Cairo, Egypt"
activity "Explore the Pyramids of Giza"
preference+ "Enjoys historical sites"
preference- "Avoids strenuous activities"
activity "Camel ride in the desert"
preference+ "Likes adventure sports"
preference- "Dislikes insects"
activity "Nile River cruise"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Visit the Egyptian Museum"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Shop at Khan el-Khalili bazaar"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
