location "Paris, France"
activity "Visit the Louvre Museum"
preference+ "Enjoys art museums"
preference- "Dislikes crowded places"
activity "Climb the Eiffel Tower"
preference+ "Likes adventure sports"
preference- "Afraid of heights"
activity "Stroll along the Seine River"
preference+ "Likes to relax in nature"
preference- "Dislikes noisy environments"
activity "Shop on the Champs-Élysées"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
activity "Dine at a French bistro trying new foods"
preference+ "Likes trying new foods"
preference- "Allergic to certain ingredients"
