location "Bora Bora, French Polynesia"
activity "Overwater bungalow stay"
preference+ "Loves beaches"
preference- "Dislikes swimming"
activity "Snorkeling in coral reefs"
preference+ "Likes to swim"
preference- "Dislikes swimming"
activity "Boat tour around the island"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Sunset cruise"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Polynesian cultural show"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
