location "Athens, Greece"
activity "Visit the Acropolis"
preference+ "Enjoys historical sites"
preference- "Avoids strenuous activities"
activity "Relax on Greek islands"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Enjoy Greek cuisine"
preference+ "Likes trying new foods"
preference- "Allergic to certain ingredients"
activity "Attend a traditional Greek festival"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
activity "Shop at Plaka district"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
