location "Santorini, Greece"
activity "Sunset viewing in Oia"
preference+ "Likes to relax in nature"
preference- "Dislikes crowded places"
activity "Wine tasting at local vineyards"
preference+ "Likes trying new foods"
preference- "Avoids alcohol"
activity "Boat tour of the caldera"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Explore ancient ruins of Akrotiri"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Relax on Red Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
