location "Honolulu, Hawaii, USA"
activity "Surfing lessons at Waikiki Beach"
preference+ "Likes adventure sports"
preference- "Dislikes swimming"
activity "Visit Pearl Harbor memorial"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Hike Diamond Head crater"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Attend a traditional luau"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
activity "Snorkeling at Hanauma Bay"
preference+ "Likes to swim"
preference- "Dislikes swimming"
