location "Reykjavik, Iceland"
activity "Visit Blue Lagoon geothermal spa"
preference+ "Likes to swim"
preference- "Hates cold weather"
activity "See Northern Lights tour"
preference+ "Likes to relax in nature"
preference- "Hates cold weather"
activity "Explore glaciers on a snowmobile"
preference+ "Likes adventure sports"
preference- "Avoids strenuous activities"
activity "Visit the Viking Museum"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Whale watching tour"
preference+ "Loves wildlife watching"
preference- "Hates cold weather"
