location "Bali, Indonesia"
activity "Relax on Kuta Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Visit Ubud Monkey Forest"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
activity "Hike Mount Batur at sunrise"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Attend a Balinese cultural dance"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
activity "Yoga retreat in the mountains"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
