location "Venice, Italy"
activity "Gondola ride through canals"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Visit St. Mark's Basilica"
preference+ "Enjoys historical sites"
preference- "Dislikes crowded places"
activity "Explore Doge's Palace"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Try local Italian seafood cuisine"
preference+ "Likes trying new foods"
preference- "Allergic to certain ingredients"
activity "Shop for Murano glass souvenirs"
preference+ "Loves shopping"
preference- "Dislikes modern cities"
