location "Tokyo, Japan"
activity "Visit the Tsukiji Fish Market"
preference+ "Likes trying new foods"
preference- "Allergic to seafood"
activity "Explore the Tokyo National Museum"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Experience Shibuya Crossing at night"
preference+ "Enjoys nightlife"
preference- "Dislikes crowded places"
activity "Relax in Shinjuku Gyoen National Garden"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
activity "Attend a sumo wrestling match"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
