location "Nairobi, Kenya"
activity "Safari in Maasai Mara"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
activity "Visit Nairobi National Museum"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Experience local markets"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
activity "Taste traditional Kenyan food"
preference+ "Likes trying new foods"
preference- "Dislikes spicy food"
activity "Visit Giraffe Centre"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
