location "Queenstown, New Zealand"
activity "Bungee jumping"
preference+ "Likes adventure sports"
preference- "Afraid of heights"
activity "Jet boating on Shotover River"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Hiking in Fiordland National Park"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Skiing at The Remarkables"
preference+ "Enjoys skiing"
preference- "Hates cold weather"
activity "Wine tasting in Central Otago"
preference+ "Likes trying new foods"
preference- "Avoids alcohol"
