location "Machu Picchu, Peru"
activity "Guided tour of Machu Picchu ruins"
preference+ "Enjoys historical sites"
preference- "Avoids strenuous activities"
activity "Hike the Inca Trail"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Visit local markets in Cusco"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
activity "Try Peruvian cuisine"
preference+ "Likes trying new foods"
preference- "Dislikes spicy food"
activity "Enjoy cultural dance performances"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
