location "Cape Town, South Africa"
activity "Hike Table Mountain"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Visit Robben Island Museum"
preference+ "Enjoys historical sites"
preference- "Dislikes museums"
activity "Explore Kirstenbosch Botanical Gardens"
preference+ "Likes to relax in nature"
preference- "Dislikes insects"
activity "Wine tasting in Stellenbosch"
preference+ "Likes trying new foods"
preference- "Avoids alcohol"
activity "Safari at Kruger National Park"
preference+ "Loves wildlife watching"
preference- "Dislikes insects"
