location "Barcelona, Spain"
activity "Tour Sagrada Familia"
preference+ "Enjoys art museums"
preference- "Dislikes crowded places"
activity "Relax at Barceloneta Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Stroll through Park Güell"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
activity "Tapas tasting tour"
preference+ "Likes trying new foods"
preference- "Dislikes spicy food"
activity "Experience a Flamenco show"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
