location "Bangkok, Thailand"
activity "Visit the Grand Palace"
preference+ "Enjoys historical sites"
preference- "Dislikes crowded places"
activity "Shop at floating markets"
preference+ "Loves shopping"
preference- "Dislikes long travel times"
activity "Try spicy street food"
preference+ "Likes trying new foods"
preference- "Dislikes spicy food"
activity "Relax with a Thai massage"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
activity "Boat ride on Chao Phraya River"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
