location "Dubai, UAE"
activity "Visit Burj Khalifa observation deck"
preference+ "Likes adventure sports"
preference- "Afraid of heights"
activity "Desert safari with dune bashing"
preference+ "Likes adventure sports"
preference- "Avoids strenuous activities"
activity "Shop at Dubai Mall"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
activity "Relax at Jumeirah Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Dhow cruise dinner"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
