location "New York City, USA"
activity "See a Broadway show"
preference+ "Enjoys art museums"
preference- "Dislikes noisy environments"
activity "Visit Times Square"
preference+ "Enjoys nightlife"
preference- "Dislikes crowded places"
activity "Walk in Central Park"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
activity "Explore the Metropolitan Museum of Art"
preference+ "Enjoys art museums"
preference- "Dislikes museums"
activity "Shop on Fifth Avenue"
preference+ "Loves shopping"
preference- "Dislikes crowded places"
